

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1736547492
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-3.94,
1,2910065340557820165,-3.87,
2,2902201770801365469,-4.06,
3,2893986434666987807,-3.87,
4,2918313179895300117,-3.69,
5,2935393797722341677,-3.94,
6,2910065340557820165,-3.87,
7,2902201770801365469,-4.06,
8,2893986434666987807,-3.87,
9,2918313179895300117,-3.75,
10,2935393797722341677,-3.94,
11,2910065340557820165,-3.87,
12,2902201770801365469,-4.06,
13,2893986434666987807,-3.87,
14,2918313179895300117,-3.75,
15,2935393797722341677,-3.94,
16,2910065340557820165,-3.87,
17,2902201770801365469,-4.06,
18,2893986434666987807,-3.87,
19,2918313179895300117,-3.75,
20,2935393797722341677,-3.94,
21,2910065340557820165,-3.87,
22,2902201770801365469,-4.06,
23,2893986434666987807,-3.87,
24,2918313179895300117,-3.75,
25,2935393797722341677,-3.94,
26,2910065340557820165,-3.87,
27,2902201770801365469,-4.06,
28,2893986434666987807,-3.87,
29,2918313179895300117,-3.75,
THERMISTORS_STOP

DATA-stop

