

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1736310709
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-3.62,
1,2910065340557820165,-3.56,
2,2902201770801365469,-3.69,
3,2893986434666987807,-3.50,
4,2918313179895300117,-3.50,
5,2935393797722341677,-3.62,
6,2910065340557820165,-3.56,
7,2902201770801365469,-3.62,
8,2893986434666987807,-3.50,
9,2918313179895300117,-3.50,
10,2935393797722341677,-3.62,
11,2910065340557820165,-3.56,
12,2902201770801365469,-3.62,
13,2893986434666987807,-3.50,
14,2918313179895300117,-3.50,
15,2935393797722341677,-3.62,
16,2910065340557820165,-3.56,
17,2902201770801365469,-3.62,
18,2893986434666987807,-3.50,
19,2918313179895300117,-3.50,
20,2935393797722341677,-3.62,
21,2910065340557820165,-3.56,
22,2902201770801365469,-3.62,
23,2893986434666987807,-3.50,
24,2918313179895300117,-3.44,
25,2935393797722341677,-3.56,
26,2910065340557820165,-3.56,
27,2902201770801365469,-3.62,
28,2893986434666987807,-3.50,
29,2918313179895300117,-3.44,
THERMISTORS_STOP

DATA-stop

