

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1736936900
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-0.13,
1,2910065340557820165,-0.13,
2,2902201770801365469,-0.25,
3,2893986434666987807,-0.13,
4,2918313179895300117,0.00,
5,2935393797722341677,-0.13,
6,2910065340557820165,-0.13,
7,2902201770801365469,-0.25,
8,2893986434666987807,-0.13,
9,2918313179895300117,0.00,
10,2935393797722341677,-0.13,
11,2910065340557820165,-0.13,
12,2902201770801365469,-0.25,
13,2893986434666987807,-0.13,
14,2918313179895300117,0.00,
15,2935393797722341677,-0.06,
16,2910065340557820165,-0.13,
17,2902201770801365469,-0.19,
18,2893986434666987807,-0.13,
19,2918313179895300117,0.00,
20,2935393797722341677,-0.06,
21,2910065340557820165,-0.13,
22,2902201770801365469,-0.25,
23,2893986434666987807,-0.13,
24,2918313179895300117,0.00,
25,2935393797722341677,-0.13,
26,2910065340557820165,-0.13,
27,2902201770801365469,-0.25,
28,2893986434666987807,-0.13,
29,2918313179895300117,0.00,
THERMISTORS_STOP

DATA-stop

