

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1736507531
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-1.19,
1,2910065340557820165,-1.19,
2,2902201770801365469,0.56,
3,2893986434666987807,-0.31,
4,2918313179895300117,0.06,
5,2935393797722341677,-1.19,
6,2910065340557820165,-1.19,
7,2902201770801365469,0.56,
8,2893986434666987807,-0.31,
9,2918313179895300117,0.06,
10,2935393797722341677,-1.19,
11,2910065340557820165,-1.19,
12,2902201770801365469,0.62,
13,2893986434666987807,-0.31,
14,2918313179895300117,0.06,
15,2935393797722341677,-1.19,
16,2910065340557820165,-1.19,
17,2902201770801365469,0.62,
18,2893986434666987807,-0.31,
19,2918313179895300117,0.06,
20,2935393797722341677,-1.19,
21,2910065340557820165,-1.19,
22,2902201770801365469,0.62,
23,2893986434666987807,-0.31,
24,2918313179895300117,0.06,
25,2935393797722341677,-1.19,
26,2910065340557820165,-1.12,
27,2902201770801365469,0.62,
28,2893986434666987807,-0.31,
29,2918313179895300117,0.06,
THERMISTORS_STOP

DATA-stop

