

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1736572211
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-2.75,
1,2910065340557820165,-2.69,
2,2902201770801365469,-2.87,
3,2893986434666987807,-2.69,
4,2918313179895300117,-2.56,
5,2935393797722341677,-2.75,
6,2910065340557820165,-2.69,
7,2902201770801365469,-2.87,
8,2893986434666987807,-2.69,
9,2918313179895300117,-2.50,
10,2935393797722341677,-2.69,
11,2910065340557820165,-2.69,
12,2902201770801365469,-2.87,
13,2893986434666987807,-2.69,
14,2918313179895300117,-2.50,
15,2935393797722341677,-2.75,
16,2910065340557820165,-2.69,
17,2902201770801365469,-2.87,
18,2893986434666987807,-2.69,
19,2918313179895300117,-2.50,
20,2935393797722341677,-2.69,
21,2910065340557820165,-2.69,
22,2902201770801365469,-2.87,
23,2893986434666987807,-2.69,
24,2918313179895300117,-2.50,
25,2935393797722341677,-2.69,
26,2910065340557820165,-2.69,
27,2902201770801365469,-2.87,
28,2893986434666987807,-2.69,
29,2918313179895300117,-2.50,
THERMISTORS_STOP

DATA-stop

