

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1735130802
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,4.50,
1,2910065340557820165,4.44,
2,2902201770801365469,4.50,
3,2893986434666987807,4.56,
4,2918313179895300117,4.69,
5,2935393797722341677,4.50,
6,2910065340557820165,4.44,
7,2902201770801365469,4.50,
8,2893986434666987807,4.56,
9,2918313179895300117,4.69,
10,2935393797722341677,4.50,
11,2910065340557820165,4.44,
12,2902201770801365469,4.50,
13,2893986434666987807,4.56,
14,2918313179895300117,4.69,
15,2935393797722341677,4.50,
16,2910065340557820165,4.44,
17,2902201770801365469,4.50,
18,2893986434666987807,4.56,
19,2918313179895300117,4.75,
20,2935393797722341677,4.50,
21,2910065340557820165,4.44,
22,2902201770801365469,4.50,
23,2893986434666987807,4.56,
24,2918313179895300117,4.75,
25,2935393797722341677,4.50,
26,2910065340557820165,4.44,
27,2902201770801365469,4.50,
28,2893986434666987807,4.56,
29,2918313179895300117,4.69,
THERMISTORS_STOP

DATA-stop

