

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1735049341
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,1.25,
1,2910065340557820165,1.19,
2,2902201770801365469,0.88,
3,2893986434666987807,1.31,
4,2918313179895300117,1.19,
5,2935393797722341677,1.25,
6,2910065340557820165,1.19,
7,2902201770801365469,0.88,
8,2893986434666987807,1.31,
9,2918313179895300117,1.19,
10,2935393797722341677,1.25,
11,2910065340557820165,1.19,
12,2902201770801365469,0.88,
13,2893986434666987807,1.31,
14,2918313179895300117,1.19,
15,2935393797722341677,1.25,
16,2910065340557820165,1.19,
17,2902201770801365469,0.88,
18,2893986434666987807,1.31,
19,2918313179895300117,1.19,
20,2935393797722341677,1.25,
21,2910065340557820165,1.19,
22,2902201770801365469,0.88,
23,2893986434666987807,1.31,
24,2918313179895300117,1.19,
25,2935393797722341677,1.25,
26,2910065340557820165,1.19,
27,2902201770801365469,0.94,
28,2893986434666987807,1.31,
29,2918313179895300117,1.19,
THERMISTORS_STOP

DATA-stop

