

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1738530810
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-3.62,
1,2910065340557820165,-3.62,
2,2902201770801365469,-3.62,
3,2893986434666987807,-3.44,
4,2918313179895300117,-3.31,
5,2935393797722341677,-3.62,
6,2910065340557820165,-3.62,
7,2902201770801365469,-3.62,
8,2893986434666987807,-3.44,
9,2918313179895300117,-3.31,
10,2935393797722341677,-3.62,
11,2910065340557820165,-3.62,
12,2902201770801365469,-3.62,
13,2893986434666987807,-3.44,
14,2918313179895300117,-3.31,
15,2935393797722341677,-3.62,
16,2910065340557820165,-3.62,
17,2902201770801365469,-3.62,
18,2893986434666987807,-3.44,
19,2918313179895300117,-3.31,
20,2935393797722341677,-3.62,
21,2910065340557820165,-3.62,
22,2902201770801365469,-3.62,
23,2893986434666987807,-3.44,
24,2918313179895300117,-3.31,
25,2935393797722341677,-3.56,
26,2910065340557820165,-3.62,
27,2902201770801365469,-3.62,
28,2893986434666987807,-3.44,
29,2918313179895300117,-3.31,
THERMISTORS_STOP

DATA-stop

