

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1738103160
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,2.69,
1,2910065340557820165,2.69,
2,2902201770801365469,2.56,
3,2893986434666987807,2.50,
4,2918313179895300117,2.81,
5,2935393797722341677,2.69,
6,2910065340557820165,2.69,
7,2902201770801365469,2.56,
8,2893986434666987807,2.56,
9,2918313179895300117,2.87,
10,2935393797722341677,2.69,
11,2910065340557820165,2.69,
12,2902201770801365469,2.62,
13,2893986434666987807,2.56,
14,2918313179895300117,2.87,
15,2935393797722341677,2.69,
16,2910065340557820165,2.69,
17,2902201770801365469,2.62,
18,2893986434666987807,2.56,
19,2918313179895300117,2.87,
20,2935393797722341677,2.69,
21,2910065340557820165,2.75,
22,2902201770801365469,2.56,
23,2893986434666987807,2.56,
24,2918313179895300117,2.87,
25,2935393797722341677,2.69,
26,2910065340557820165,2.69,
27,2902201770801365469,2.62,
28,2893986434666987807,2.56,
29,2918313179895300117,2.87,
THERMISTORS_STOP

DATA-stop

