

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1737654360
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-0.62,
1,2910065340557820165,-0.62,
2,2902201770801365469,-0.62,
3,2893986434666987807,-0.31,
4,2918313179895300117,-0.31,
5,2935393797722341677,-0.62,
6,2910065340557820165,-0.62,
7,2902201770801365469,-0.62,
8,2893986434666987807,-0.31,
9,2918313179895300117,-0.31,
10,2935393797722341677,-0.62,
11,2910065340557820165,-0.62,
12,2902201770801365469,-0.62,
13,2893986434666987807,-0.31,
14,2918313179895300117,-0.31,
15,2935393797722341677,-0.62,
16,2910065340557820165,-0.62,
17,2902201770801365469,-0.62,
18,2893986434666987807,-0.31,
19,2918313179895300117,-0.31,
20,2935393797722341677,-0.62,
21,2910065340557820165,-0.62,
22,2902201770801365469,-0.56,
23,2893986434666987807,-0.31,
24,2918313179895300117,-0.31,
25,2935393797722341677,-0.62,
26,2910065340557820165,-0.62,
27,2902201770801365469,-0.56,
28,2893986434666987807,-0.31,
29,2918313179895300117,-0.31,
THERMISTORS_STOP

DATA-stop

