

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1737136741
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,1.56,
1,2910065340557820165,1.50,
2,2902201770801365469,0.50,
3,2893986434666987807,1.25,
4,2918313179895300117,0.75,
5,2935393797722341677,1.56,
6,2910065340557820165,1.56,
7,2902201770801365469,0.50,
8,2893986434666987807,1.31,
9,2918313179895300117,0.75,
10,2935393797722341677,1.56,
11,2910065340557820165,1.50,
12,2902201770801365469,0.50,
13,2893986434666987807,1.31,
14,2918313179895300117,0.75,
15,2935393797722341677,1.56,
16,2910065340557820165,1.56,
17,2902201770801365469,0.56,
18,2893986434666987807,1.31,
19,2918313179895300117,0.75,
20,2935393797722341677,1.62,
21,2910065340557820165,1.50,
22,2902201770801365469,0.56,
23,2893986434666987807,1.31,
24,2918313179895300117,0.81,
25,2935393797722341677,1.62,
26,2910065340557820165,1.50,
27,2902201770801365469,0.56,
28,2893986434666987807,1.31,
29,2918313179895300117,0.81,
THERMISTORS_STOP

DATA-stop

