

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1736221470
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-0.37,
1,2910065340557820165,-0.44,
2,2902201770801365469,-0.81,
3,2893986434666987807,-0.25,
4,2918313179895300117,-0.56,
5,2935393797722341677,-0.37,
6,2910065340557820165,-0.44,
7,2902201770801365469,-0.81,
8,2893986434666987807,-0.25,
9,2918313179895300117,-0.50,
10,2935393797722341677,-0.37,
11,2910065340557820165,-0.44,
12,2902201770801365469,-0.75,
13,2893986434666987807,-0.25,
14,2918313179895300117,-0.50,
15,2935393797722341677,-0.37,
16,2910065340557820165,-0.44,
17,2902201770801365469,-0.75,
18,2893986434666987807,-0.25,
19,2918313179895300117,-0.50,
20,2935393797722341677,-0.37,
21,2910065340557820165,-0.44,
22,2902201770801365469,-0.75,
23,2893986434666987807,-0.25,
24,2918313179895300117,-0.50,
25,2935393797722341677,-0.37,
26,2910065340557820165,-0.44,
27,2902201770801365469,-0.75,
28,2893986434666987807,-0.25,
29,2918313179895300117,-0.50,
THERMISTORS_STOP

DATA-stop

