

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739754481
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-9.31,
1,2910065340557820165,-9.31,
2,2902201770801365469,-9.56,
3,2893986434666987807,-9.25,
4,2918313179895300117,-9.13,
5,2935393797722341677,-9.25,
6,2910065340557820165,-9.31,
7,2902201770801365469,-9.56,
8,2893986434666987807,-9.25,
9,2918313179895300117,-9.13,
10,2935393797722341677,-9.25,
11,2910065340557820165,-9.31,
12,2902201770801365469,-9.56,
13,2893986434666987807,-9.25,
14,2918313179895300117,-9.13,
15,2935393797722341677,-9.25,
16,2910065340557820165,-9.31,
17,2902201770801365469,-9.50,
18,2893986434666987807,-9.25,
19,2918313179895300117,-9.13,
20,2935393797722341677,-9.25,
21,2910065340557820165,-9.31,
22,2902201770801365469,-9.56,
23,2893986434666987807,-9.25,
24,2918313179895300117,-9.13,
25,2935393797722341677,-9.25,
26,2910065340557820165,-9.31,
27,2902201770801365469,-9.50,
28,2893986434666987807,-9.25,
29,2918313179895300117,-9.13,
THERMISTORS_STOP

DATA-stop

