

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739436361
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-0.13,
1,2910065340557820165,-0.13,
2,2902201770801365469,0.56,
3,2893986434666987807,0.25,
4,2918313179895300117,0.50,
5,2935393797722341677,-0.13,
6,2910065340557820165,-0.06,
7,2902201770801365469,0.56,
8,2893986434666987807,0.31,
9,2918313179895300117,0.50,
10,2935393797722341677,-0.13,
11,2910065340557820165,-0.06,
12,2902201770801365469,0.56,
13,2893986434666987807,0.31,
14,2918313179895300117,0.50,
15,2935393797722341677,-0.13,
16,2910065340557820165,-0.06,
17,2902201770801365469,0.56,
18,2893986434666987807,0.31,
19,2918313179895300117,0.50,
20,2935393797722341677,-0.13,
21,2910065340557820165,-0.06,
22,2902201770801365469,0.56,
23,2893986434666987807,0.31,
24,2918313179895300117,0.56,
25,2935393797722341677,-0.13,
26,2910065340557820165,-0.06,
27,2902201770801365469,0.56,
28,2893986434666987807,0.31,
29,2918313179895300117,0.56,
THERMISTORS_STOP

DATA-stop

