

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1738863792
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-0.50,
1,2910065340557820165,-0.50,
2,2902201770801365469,-0.75,
3,2893986434666987807,-0.50,
4,2918313179895300117,-0.44,
5,2935393797722341677,-0.50,
6,2910065340557820165,-0.50,
7,2902201770801365469,-0.69,
8,2893986434666987807,-0.44,
9,2918313179895300117,-0.44,
10,2935393797722341677,-0.50,
11,2910065340557820165,-0.50,
12,2902201770801365469,-0.69,
13,2893986434666987807,-0.44,
14,2918313179895300117,-0.44,
15,2935393797722341677,-0.50,
16,2910065340557820165,-0.50,
17,2902201770801365469,-0.69,
18,2893986434666987807,-0.44,
19,2918313179895300117,-0.44,
20,2935393797722341677,-0.50,
21,2910065340557820165,-0.50,
22,2902201770801365469,-0.69,
23,2893986434666987807,-0.44,
24,2918313179895300117,-0.44,
25,2935393797722341677,-0.50,
26,2910065340557820165,-0.50,
27,2902201770801365469,-0.69,
28,2893986434666987807,-0.44,
29,2918313179895300117,-0.44,
THERMISTORS_STOP

DATA-stop

