

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1741548338
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,2.12,
1,2910065340557820165,2.06,
2,2902201770801365469,2.12,
3,2893986434666987807,2.25,
4,2918313179895300117,2.37,
5,2935393797722341677,2.06,
6,2910065340557820165,2.06,
7,2902201770801365469,2.12,
8,2893986434666987807,2.25,
9,2918313179895300117,2.37,
10,2935393797722341677,2.12,
11,2910065340557820165,2.12,
12,2902201770801365469,2.12,
13,2893986434666987807,2.25,
14,2918313179895300117,2.37,
15,2935393797722341677,2.06,
16,2910065340557820165,2.12,
17,2902201770801365469,2.12,
18,2893986434666987807,2.31,
19,2918313179895300117,2.37,
20,2935393797722341677,2.12,
21,2910065340557820165,2.12,
22,2902201770801365469,2.12,
23,2893986434666987807,2.31,
24,2918313179895300117,2.37,
25,2935393797722341677,2.12,
26,2910065340557820165,2.12,
27,2902201770801365469,2.19,
28,2893986434666987807,2.25,
29,2918313179895300117,2.37,
THERMISTORS_STOP

DATA-stop

