

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1740848670
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,0.13,
1,2910065340557820165,0.13,
2,2902201770801365469,0.13,
3,2893986434666987807,0.25,
4,2918313179895300117,0.37,
5,2935393797722341677,0.13,
6,2910065340557820165,0.13,
7,2902201770801365469,0.19,
8,2893986434666987807,0.25,
9,2918313179895300117,0.37,
10,2935393797722341677,0.19,
11,2910065340557820165,0.13,
12,2902201770801365469,0.13,
13,2893986434666987807,0.25,
14,2918313179895300117,0.37,
15,2935393797722341677,0.13,
16,2910065340557820165,0.13,
17,2902201770801365469,0.19,
18,2893986434666987807,0.25,
19,2918313179895300117,0.37,
20,2935393797722341677,0.19,
21,2910065340557820165,0.13,
22,2902201770801365469,0.13,
23,2893986434666987807,0.25,
24,2918313179895300117,0.37,
25,2935393797722341677,0.13,
26,2910065340557820165,0.13,
27,2902201770801365469,0.19,
28,2893986434666987807,0.25,
29,2918313179895300117,0.37,
THERMISTORS_STOP

DATA-stop

