

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1740998851
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,9.13,
1,2910065340557820165,9.19,
2,2902201770801365469,10.81,
3,2893986434666987807,9.38,
4,2918313179895300117,10.44,
5,2935393797722341677,9.13,
6,2910065340557820165,9.19,
7,2902201770801365469,10.81,
8,2893986434666987807,9.38,
9,2918313179895300117,10.44,
10,2935393797722341677,9.13,
11,2910065340557820165,9.19,
12,2902201770801365469,10.81,
13,2893986434666987807,9.38,
14,2918313179895300117,10.38,
15,2935393797722341677,9.13,
16,2910065340557820165,9.19,
17,2902201770801365469,10.75,
18,2893986434666987807,9.38,
19,2918313179895300117,10.38,
20,2935393797722341677,9.13,
21,2910065340557820165,9.19,
22,2902201770801365469,10.75,
23,2893986434666987807,9.38,
24,2918313179895300117,10.38,
25,2935393797722341677,9.13,
26,2910065340557820165,9.19,
27,2902201770801365469,10.69,
28,2893986434666987807,9.38,
29,2918313179895300117,10.38,
THERMISTORS_STOP

DATA-stop

