

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739490571
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-8.00,
1,2910065340557820165,-8.06,
2,2902201770801365469,-8.38,
3,2893986434666987807,-8.06,
4,2918313179895300117,-7.94,
5,2935393797722341677,-8.00,
6,2910065340557820165,-8.06,
7,2902201770801365469,-8.31,
8,2893986434666987807,-8.06,
9,2918313179895300117,-7.94,
10,2935393797722341677,-8.00,
11,2910065340557820165,-8.06,
12,2902201770801365469,-8.38,
13,2893986434666987807,-8.00,
14,2918313179895300117,-7.94,
15,2935393797722341677,-8.00,
16,2910065340557820165,-8.06,
17,2902201770801365469,-8.38,
18,2893986434666987807,-8.06,
19,2918313179895300117,-7.94,
20,2935393797722341677,-8.00,
21,2910065340557820165,-8.06,
22,2902201770801365469,-8.38,
23,2893986434666987807,-8.00,
24,2918313179895300117,-7.94,
25,2935393797722341677,-8.00,
26,2910065340557820165,-8.06,
27,2902201770801365469,-8.38,
28,2893986434666987807,-8.00,
29,2918313179895300117,-7.94,
THERMISTORS_STOP

DATA-stop

