

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1740753601
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,2.06,
1,2910065340557820165,1.87,
2,2902201770801365469,1.62,
3,2893986434666987807,3.19,
4,2918313179895300117,2.31,
5,2935393797722341677,2.06,
6,2910065340557820165,1.87,
7,2902201770801365469,1.62,
8,2893986434666987807,3.19,
9,2918313179895300117,2.31,
10,2935393797722341677,2.06,
11,2910065340557820165,1.87,
12,2902201770801365469,1.62,
13,2893986434666987807,3.25,
14,2918313179895300117,2.31,
15,2935393797722341677,2.06,
16,2910065340557820165,1.87,
17,2902201770801365469,1.62,
18,2893986434666987807,3.19,
19,2918313179895300117,2.31,
20,2935393797722341677,2.06,
21,2910065340557820165,1.87,
22,2902201770801365469,1.62,
23,2893986434666987807,3.19,
24,2918313179895300117,2.31,
25,2935393797722341677,2.06,
26,2910065340557820165,1.87,
27,2902201770801365469,1.62,
28,2893986434666987807,3.19,
29,2918313179895300117,2.31,
THERMISTORS_STOP

DATA-stop

