

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739326120
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-6.75,
1,2910065340557820165,-6.81,
2,2902201770801365469,-7.06,
3,2893986434666987807,-6.87,
4,2918313179895300117,-6.69,
5,2935393797722341677,-6.75,
6,2910065340557820165,-6.81,
7,2902201770801365469,-7.06,
8,2893986434666987807,-6.87,
9,2918313179895300117,-6.69,
10,2935393797722341677,-6.75,
11,2910065340557820165,-6.81,
12,2902201770801365469,-7.06,
13,2893986434666987807,-6.87,
14,2918313179895300117,-6.69,
15,2935393797722341677,-6.75,
16,2910065340557820165,-6.81,
17,2902201770801365469,-7.06,
18,2893986434666987807,-6.87,
19,2918313179895300117,-6.69,
20,2935393797722341677,-6.75,
21,2910065340557820165,-6.81,
22,2902201770801365469,-7.06,
23,2893986434666987807,-6.87,
24,2918313179895300117,-6.69,
25,2935393797722341677,-6.75,
26,2910065340557820165,-6.81,
27,2902201770801365469,-7.06,
28,2893986434666987807,-6.87,
29,2918313179895300117,-6.69,
THERMISTORS_STOP

DATA-stop

