

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1742050470
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,7.12,
1,2910065340557820165,7.19,
2,2902201770801365469,7.25,
3,2893986434666987807,7.31,
4,2918313179895300117,7.44,
5,2935393797722341677,7.12,
6,2910065340557820165,7.19,
7,2902201770801365469,7.31,
8,2893986434666987807,7.31,
9,2918313179895300117,7.44,
10,2935393797722341677,7.12,
11,2910065340557820165,7.19,
12,2902201770801365469,7.31,
13,2893986434666987807,7.31,
14,2918313179895300117,7.50,
15,2935393797722341677,7.12,
16,2910065340557820165,7.19,
17,2902201770801365469,7.31,
18,2893986434666987807,7.31,
19,2918313179895300117,7.50,
20,2935393797722341677,7.12,
21,2910065340557820165,7.19,
22,2902201770801365469,7.31,
23,2893986434666987807,7.31,
24,2918313179895300117,7.50,
25,2935393797722341677,7.12,
26,2910065340557820165,7.19,
27,2902201770801365469,7.31,
28,2893986434666987807,7.31,
29,2918313179895300117,7.44,
THERMISTORS_STOP

DATA-stop

