

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1740656622
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,2.19,
1,2910065340557820165,2.19,
2,2902201770801365469,2.37,
3,2893986434666987807,2.56,
4,2918313179895300117,2.56,
5,2935393797722341677,2.19,
6,2910065340557820165,2.19,
7,2902201770801365469,2.37,
8,2893986434666987807,2.56,
9,2918313179895300117,2.62,
10,2935393797722341677,2.19,
11,2910065340557820165,2.19,
12,2902201770801365469,2.37,
13,2893986434666987807,2.56,
14,2918313179895300117,2.62,
15,2935393797722341677,2.19,
16,2910065340557820165,2.19,
17,2902201770801365469,2.37,
18,2893986434666987807,2.56,
19,2918313179895300117,2.62,
20,2935393797722341677,2.19,
21,2910065340557820165,2.19,
22,2902201770801365469,2.37,
23,2893986434666987807,2.56,
24,2918313179895300117,2.62,
25,2935393797722341677,2.19,
26,2910065340557820165,2.19,
27,2902201770801365469,2.37,
28,2893986434666987807,2.56,
29,2918313179895300117,2.56,
THERMISTORS_STOP

DATA-stop

