

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739912221
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-5.50,
1,2910065340557820165,-5.50,
2,2902201770801365469,-5.94,
3,2893986434666987807,-5.50,
4,2918313179895300117,-5.56,
5,2935393797722341677,-5.50,
6,2910065340557820165,-5.50,
7,2902201770801365469,-5.94,
8,2893986434666987807,-5.50,
9,2918313179895300117,-5.50,
10,2935393797722341677,-5.50,
11,2910065340557820165,-5.50,
12,2902201770801365469,-5.94,
13,2893986434666987807,-5.50,
14,2918313179895300117,-5.50,
15,2935393797722341677,-5.50,
16,2910065340557820165,-5.50,
17,2902201770801365469,-5.94,
18,2893986434666987807,-5.50,
19,2918313179895300117,-5.50,
20,2935393797722341677,-5.50,
21,2910065340557820165,-5.50,
22,2902201770801365469,-5.94,
23,2893986434666987807,-5.50,
24,2918313179895300117,-5.50,
25,2935393797722341677,-5.50,
26,2910065340557820165,-5.50,
27,2902201770801365469,-5.94,
28,2893986434666987807,-5.50,
29,2918313179895300117,-5.50,
THERMISTORS_STOP

DATA-stop

