

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739664270
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-10.13,
1,2910065340557820165,-10.19,
2,2902201770801365469,-11.00,
3,2893986434666987807,-10.31,
4,2918313179895300117,-10.50,
5,2935393797722341677,-10.13,
6,2910065340557820165,-10.25,
7,2902201770801365469,-11.00,
8,2893986434666987807,-10.31,
9,2918313179895300117,-10.50,
10,2935393797722341677,-10.13,
11,2910065340557820165,-10.19,
12,2902201770801365469,-11.00,
13,2893986434666987807,-10.31,
14,2918313179895300117,-10.50,
15,2935393797722341677,-10.13,
16,2910065340557820165,-10.19,
17,2902201770801365469,-11.00,
18,2893986434666987807,-10.31,
19,2918313179895300117,-10.50,
20,2935393797722341677,-10.13,
21,2910065340557820165,-10.19,
22,2902201770801365469,-11.00,
23,2893986434666987807,-10.31,
24,2918313179895300117,-10.50,
25,2935393797722341677,-10.13,
26,2910065340557820165,-10.19,
27,2902201770801365469,-11.00,
28,2893986434666987807,-10.31,
29,2918313179895300117,-10.50,
THERMISTORS_STOP

DATA-stop

