

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739938862
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-9.38,
1,2910065340557820165,-9.31,
2,2902201770801365469,-9.56,
3,2893986434666987807,-9.31,
4,2918313179895300117,-9.13,
5,2935393797722341677,-9.38,
6,2910065340557820165,-9.25,
7,2902201770801365469,-9.63,
8,2893986434666987807,-9.31,
9,2918313179895300117,-9.06,
10,2935393797722341677,-9.38,
11,2910065340557820165,-9.31,
12,2902201770801365469,-9.56,
13,2893986434666987807,-9.38,
14,2918313179895300117,-9.06,
15,2935393797722341677,-9.38,
16,2910065340557820165,-9.25,
17,2902201770801365469,-9.56,
18,2893986434666987807,-9.31,
19,2918313179895300117,-9.13,
20,2935393797722341677,-9.38,
21,2910065340557820165,-9.31,
22,2902201770801365469,-9.56,
23,2893986434666987807,-9.31,
24,2918313179895300117,-9.13,
25,2935393797722341677,-9.38,
26,2910065340557820165,-9.31,
27,2902201770801365469,-9.56,
28,2893986434666987807,-9.31,
29,2918313179895300117,-9.13,
THERMISTORS_STOP

DATA-stop

