

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1740457770
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,3.25,
1,2910065340557820165,3.25,
2,2902201770801365469,3.19,
3,2893986434666987807,3.37,
4,2918313179895300117,3.44,
5,2935393797722341677,3.25,
6,2910065340557820165,3.25,
7,2902201770801365469,3.25,
8,2893986434666987807,3.37,
9,2918313179895300117,3.50,
10,2935393797722341677,3.25,
11,2910065340557820165,3.25,
12,2902201770801365469,3.19,
13,2893986434666987807,3.37,
14,2918313179895300117,3.44,
15,2935393797722341677,3.25,
16,2910065340557820165,3.25,
17,2902201770801365469,3.19,
18,2893986434666987807,3.37,
19,2918313179895300117,3.44,
20,2935393797722341677,3.25,
21,2910065340557820165,3.25,
22,2902201770801365469,3.25,
23,2893986434666987807,3.37,
24,2918313179895300117,3.44,
25,2935393797722341677,3.25,
26,2910065340557820165,3.25,
27,2902201770801365469,3.25,
28,2893986434666987807,3.37,
29,2918313179895300117,3.44,
THERMISTORS_STOP

DATA-stop

