

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1740696521
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-0.75,
1,2910065340557820165,-0.75,
2,2902201770801365469,-0.69,
3,2893986434666987807,-0.56,
4,2918313179895300117,-0.37,
5,2935393797722341677,-0.75,
6,2910065340557820165,-0.75,
7,2902201770801365469,-0.62,
8,2893986434666987807,-0.56,
9,2918313179895300117,-0.44,
10,2935393797722341677,-0.75,
11,2910065340557820165,-0.75,
12,2902201770801365469,-0.62,
13,2893986434666987807,-0.56,
14,2918313179895300117,-0.37,
15,2935393797722341677,-0.75,
16,2910065340557820165,-0.75,
17,2902201770801365469,-0.62,
18,2893986434666987807,-0.56,
19,2918313179895300117,-0.37,
20,2935393797722341677,-0.75,
21,2910065340557820165,-0.75,
22,2902201770801365469,-0.62,
23,2893986434666987807,-0.56,
24,2918313179895300117,-0.37,
25,2935393797722341677,-0.75,
26,2910065340557820165,-0.75,
27,2902201770801365469,-0.62,
28,2893986434666987807,-0.56,
29,2918313179895300117,-0.37,
THERMISTORS_STOP

DATA-stop

