

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1742200171
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-0.50,
1,2910065340557820165,-0.37,
2,2902201770801365469,0.25,
3,2893986434666987807,0.13,
4,2918313179895300117,0.31,
5,2935393797722341677,-0.44,
6,2910065340557820165,-0.37,
7,2902201770801365469,0.25,
8,2893986434666987807,0.13,
9,2918313179895300117,0.37,
10,2935393797722341677,-0.44,
11,2910065340557820165,-0.37,
12,2902201770801365469,0.31,
13,2893986434666987807,0.13,
14,2918313179895300117,0.37,
15,2935393797722341677,-0.44,
16,2910065340557820165,-0.37,
17,2902201770801365469,0.25,
18,2893986434666987807,0.13,
19,2918313179895300117,0.37,
20,2935393797722341677,-0.44,
21,2910065340557820165,-0.31,
22,2902201770801365469,0.31,
23,2893986434666987807,0.13,
24,2918313179895300117,0.37,
25,2935393797722341677,-0.44,
26,2910065340557820165,-0.31,
27,2902201770801365469,0.31,
28,2893986434666987807,0.13,
29,2918313179895300117,0.37,
THERMISTORS_STOP

DATA-stop

