

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739770601
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-8.44,
1,2910065340557820165,-8.50,
2,2902201770801365469,-8.75,
3,2893986434666987807,-8.38,
4,2918313179895300117,-8.25,
5,2935393797722341677,-8.44,
6,2910065340557820165,-8.50,
7,2902201770801365469,-8.69,
8,2893986434666987807,-8.38,
9,2918313179895300117,-8.25,
10,2935393797722341677,-8.44,
11,2910065340557820165,-8.50,
12,2902201770801365469,-8.69,
13,2893986434666987807,-8.38,
14,2918313179895300117,-8.25,
15,2935393797722341677,-8.44,
16,2910065340557820165,-8.50,
17,2902201770801365469,-8.69,
18,2893986434666987807,-8.38,
19,2918313179895300117,-8.19,
20,2935393797722341677,-8.44,
21,2910065340557820165,-8.50,
22,2902201770801365469,-8.69,
23,2893986434666987807,-8.38,
24,2918313179895300117,-8.19,
25,2935393797722341677,-8.44,
26,2910065340557820165,-8.50,
27,2902201770801365469,-8.69,
28,2893986434666987807,-8.31,
29,2918313179895300117,-8.19,
THERMISTORS_STOP

DATA-stop

